code,naam,niveau,indicator,jaar,waarde
71016B11-,OUD-WATERSCHEI,sector,screening,2022,0.541
71016B11-,OUD-WATERSCHEI,sector,screening,2023,0.545
71016B11-,OUD-WATERSCHEI,sector,screening,2024,0.548
71016B1AB,WATERSCHEI-ZUID,sector,screening,2020,0.517
71016B1AB,WATERSCHEI-ZUID,sector,screening,2021,0.533
71016B1AB,WATERSCHEI-ZUID,sector,screening,2022,0.509
71016B1AB,WATERSCHEI-ZUID,sector,screening,2023,0.518
71016B1AB,WATERSCHEI-ZUID,sector,screening,2024,0.521
71016B1BK,NOORD WATERSCHEI,sector,screening,2020,0.485
71016B1BK,NOORD WATERSCHEI,sector,screening,2021,0.479
71016B1BK,NOORD WATERSCHEI,sector,screening,2022,0.455
71016B1BK,NOORD WATERSCHEI,sector,screening,2023,0.468
71016B1BK,NOORD WATERSCHEI,sector,screening,2024,0.484
71016B1CK,WATERSCHEI TEXAS,sector,screening,2020,0.44
71016B1CK,WATERSCHEI TEXAS,sector,screening,2021,0.495
71016B1CK,WATERSCHEI TEXAS,sector,screening,2022,0.486
71016B1CK,WATERSCHEI TEXAS,sector,screening,2023,0.472
71016B1CK,WATERSCHEI TEXAS,sector,screening,2024,0.437
71016B20K,ZWARTBERG-TUINWIJK-NOORD-WEST,sector,screening,2020,0.566
71016B20K,ZWARTBERG-TUINWIJK-NOORD-WEST,sector,screening,2021,0.526
71016B20K,ZWARTBERG-TUINWIJK-NOORD-WEST,sector,screening,2022,0.56
71016B20K,ZWARTBERG-TUINWIJK-NOORD-WEST,sector,screening,2023,0.606
71016B20K,ZWARTBERG-TUINWIJK-NOORD-WEST,sector,screening,2024,0.571
71016B20L,ZWARTBERG-TUINWIJK-NOORD-OOST,sector,screening,2020,0.461
71016B20L,ZWARTBERG-TUINWIJK-NOORD-OOST,sector,screening,2021,0.471
71016B20L,ZWARTBERG-TUINWIJK-NOORD-OOST,sector,screening,2022,0.435
71016B20L,ZWARTBERG-TUINWIJK-NOORD-OOST,sector,screening,2023,0.456
71016B20L,ZWARTBERG-TUINWIJK-NOORD-OOST,sector,screening,2024,0.49
71016B22K,HEIDEBLOOK,sector,screening,2020,0.479
71016B22K,HEIDEBLOOK,sector,screening,2021,0.505
71016B22K,HEIDEBLOOK,sector,screening,2022,0.505
71016B22K,HEIDEBLOOK,sector,screening,2023,0.52
71016B22K,HEIDEBLOOK,sector,screening,2024,0.517
71016B22L,HOEVENZAVELLAAN,sector,screening,2020,0.495
71016B22L,HOEVENZAVELLAAN,sector,screening,2021,0.35
71016B22L,HOEVENZAVELLAAN,sector,screening,2022,0.4
71016B22L,HOEVENZAVELLAAN,sector,screening,2023,0.424
71016B22L,HOEVENZAVELLAAN,sector,screening,2024,0.474
71016B23K,OUD-DRIEHOEVEN,sector,screening,2020,0.566
71016B23K,OUD-DRIEHOEVEN,sector,screening,2021,0.562
71016B23K,OUD-DRIEHOEVEN,sector,screening,2022,0.535
71016B23K,OUD-DRIEHOEVEN,sector,screening,2023,0.577
71016B23K,OUD-DRIEHOEVEN,sector,screening,2024,0.622
71016B242,NIEUWE KEMPEN,sector,screening,2020,0.53
71016B242,NIEUWE KEMPEN,sector,screening,2021,0.491
71016B242,NIEUWE KEMPEN,sector,screening,2022,0.502
71016B242,NIEUWE KEMPEN,sector,screening,2023,0.524
71016B242,NIEUWE KEMPEN,sector,screening,2024,0.526
71016B27K,WOLFSBERG INDUSTRIE,sector,screening,2020,0.5
71016B27K,WOLFSBERG INDUSTRIE,sector,screening,2021,0.667
71016B29L,ZWARTBERG INDUSTRIE,sector,screening,2020,0.5
71016B29L,ZWARTBERG INDUSTRIE,sector,screening,2021,0.5
71016B29L,ZWARTBERG INDUSTRIE,sector,screening,2022,0.615
71016B29L,ZWARTBERG INDUSTRIE,sector,screening,2023,0.583
71016B29L,ZWARTBERG INDUSTRIE,sector,screening,2024,0.667
71016B2AA,ZWARTBERG-ZUID,sector,screening,2020,0.496
71016B2AA,ZWARTBERG-ZUID,sector,screening,2021,0.467
71016B2AA,ZWARTBERG-ZUID,sector,screening,2022,0.461
71016B2AA,ZWARTBERG-ZUID,sector,screening,2023,0.481
71016B2AA,ZWARTBERG-ZUID,sector,screening,2024,0.502
71016B2BA,NIEUW-DRIEHOEVEN,sector,screening,2020,0.483
71016B2BA,NIEUW-DRIEHOEVEN,sector,screening,2021,0.467
71016B2BA,NIEUW-DRIEHOEVEN,sector,screening,2022,0.455
71016B2BA,NIEUW-DRIEHOEVEN,sector,screening,2023,0.479
71016B2BA,NIEUW-DRIEHOEVEN,sector,screening,2024,0.481
Noord,Genk-Noord,campagnebuurt,screening,2020,0.5076
Noord,Genk-Noord,campagnebuurt,screening,2021,0.5006
Noord,Genk-Noord,campagnebuurt,screening,2022,0.4964
Noord,Genk-Noord,campagnebuurt,screening,2023,0.5167
Noord,Genk-Noord,campagnebuurt,screening,2024,0.5389
